datetime,upstream,downstream
1995-10-01 00:00:00+00:00,12800.0,13500.0
1995-10-02 00:00:00+00:00,13800.0,14500.0
1995-10-03 00:00:00+00:00,16200.0,17100.0
1995-10-04 00:00:00+00:00,20200.0,21100.0
1995-10-05 00:00:00+00:00,24500.0,25500.0
1995-10-06 00:00:00+00:00,28400.0,29700.0
1995-10-07 00:00:00+00:00,30100.0,31400.0
1995-10-08 00:00:00+00:00,31000.0,32400.0
1995-10-09 00:00:00+00:00,33100.0,34600.0
1995-10-10 00:00:00+00:00,34500.0,36000.0
1995-10-11 00:00:00+00:00,35500.0,37000.0
1995-10-12 00:00:00+00:00,35700.0,37200.0
1995-10-13 00:00:00+00:00,36200.0,37700.0
1995-10-14 00:00:00+00:00,36200.0,37600.0
1995-10-15 00:00:00+00:00,35400.0,36700.0
1995-10-16 00:00:00+00:00,34300.0,35600.0
1995-10-17 00:00:00+00:00,34000.0,35300.0
1995-10-18 00:00:00+00:00,33300.0,34400.0
1995-10-19 00:00:00+00:00,32000.0,33200.0
1995-10-20 00:00:00+00:00,31000.0,32100.0
1995-10-21 00:00:00+00:00,29500.0,30600.0
1995-10-22 00:00:00+00:00,29000.0,30000.0
1995-10-23 00:00:00+00:00,29000.0,30200.0
1995-10-24 00:00:00+00:00,30200.0,31800.0
1995-10-25 00:00:00+00:00,30500.0,32200.0
1995-10-26 00:00:00+00:00,32200.0,34000.0
1995-10-27 00:00:00+00:00,34400.0,36300.0
1995-10-28 00:00:00+00:00,36900.0,38800.0
1995-10-29 00:00:00+00:00,38400.0,40300.0
1995-10-30 00:00:00+00:00,39200.0,41100.0
1995-10-31 00:00:00+00:00,40000.0,41900.0
1995-11-01 00:00:00+00:00,40800.0,42800.0
1995-11-02 00:00:00+00:00,41300.0,43500.0
1995-11-03 00:00:00+00:00,40700.0,43000.0
1995-11-04 00:00:00+00:00,39900.0,42200.0
1995-11-05 00:00:00+00:00,40200.0,42500.0
1995-11-06 00:00:00+00:00,39700.0,41800.0
1995-11-07 00:00:00+00:00,38400.0,40500.0
1995-11-08 00:00:00+00:00,37100.0,39000.0
1995-11-09 00:00:00+00:00,35900.0,37800.0
1995-11-10 00:00:00+00:00,35100.0,37000.0
1995-11-11 00:00:00+00:00,33900.0,35700.0
1995-11-12 00:00:00+00:00,31700.0,33400.0
1995-11-13 00:00:00+00:00,30400.0,32000.0
1995-11-14 00:00:00+00:00,28800.0,30400.0
1995-11-15 00:00:00+00:00,28100.0,29600.0
1995-11-16 00:00:00+00:00,27900.0,29400.0
1995-11-17 00:00:00+00:00,27900.0,29400.0
1995-11-18 00:00:00+00:00,27600.0,29000.0
1995-11-19 00:00:00+00:00,27300.0,28700.0
1995-11-20 00:00:00+00:00,26700.0,27900.0
1995-11-21 00:00:00+00:00,25600.0,26900.0
1995-11-22 00:00:00+00:00,24900.0,26200.0
1995-11-23 00:00:00+00:00,23800.0,25000.0
1995-11-24 00:00:00+00:00,22900.0,23900.0
1995-11-25 00:00:00+00:00,20800.0,21900.0
1995-11-26 00:00:00+00:00,19800.0,21000.0
1995-11-27 00:00:00+00:00,20600.0,21800.0
1995-11-28 00:00:00+00:00,21300.0,22300.0
1995-11-29 00:00:00+00:00,20000.0,21000.0
1995-11-30 00:00:00+00:00,18900.0,19900.0
1995-12-01 00:00:00+00:00,18200.0,19400.0
1995-12-02 00:00:00+00:00,20800.0,21900.0
1995-12-03 00:00:00+00:00,20000.0,21000.0
1995-12-04 00:00:00+00:00,20900.0,21900.0
1995-12-05 00:00:00+00:00,20500.0,21400.0
1995-12-06 00:00:00+00:00,19800.0,20800.0
1995-12-07 00:00:00+00:00,18900.0,19700.0
1995-12-08 00:00:00+00:00,15800.0,16600.0
1995-12-09 00:00:00+00:00,14900.0,15800.0
1995-12-10 00:00:00+00:00,15300.0,16100.0
1995-12-11 00:00:00+00:00,13300.0,14100.0
1995-12-12 00:00:00+00:00,12900.0,13700.0
1995-12-13 00:00:00+00:00,13700.0,14500.0
1995-12-14 00:00:00+00:00,15500.0,16300.0
1995-12-15 00:00:00+00:00,16000.0,16800.0
1995-12-16 00:00:00+00:00,15900.0,16700.0
1995-12-17 00:00:00+00:00,16600.0,17400.0
1995-12-18 00:00:00+00:00,16000.0,16800.0
1995-12-19 00:00:00+00:00,15900.0,16700.0
1995-12-20 00:00:00+00:00,16400.0,17200.0
1995-12-21 00:00:00+00:00,16400.0,17200.0
1995-12-22 00:00:00+00:00,16400.0,17200.0
1995-12-23 00:00:00+00:00,16000.0,16700.0
1995-12-24 00:00:00+00:00,15800.0,16500.0
1995-12-25 00:00:00+00:00,15900.0,16600.0
1995-12-26 00:00:00+00:00,16200.0,16900.0
1995-12-27 00:00:00+00:00,15700.0,16400.0
1995-12-28 00:00:00+00:00,15700.0,16400.0
1995-12-29 00:00:00+00:00,16400.0,17100.0
1995-12-30 00:00:00+00:00,15800.0,16500.0
1995-12-31 00:00:00+00:00,15100.0,15800.0
1996-01-01 00:00:00+00:00,15600.0,16300.0
1996-01-02 00:00:00+00:00,16000.0,16700.0
1996-01-03 00:00:00+00:00,16200.0,16900.0
1996-01-04 00:00:00+00:00,15700.0,16400.0
1996-01-05 00:00:00+00:00,14800.0,15500.0
1996-01-06 00:00:00+00:00,14500.0,15200.0
1996-01-07 00:00:00+00:00,14000.0,14700.0
1996-01-08 00:00:00+00:00,13100.0,13800.0
1996-01-09 00:00:00+00:00,13200.0,13900.0
1996-01-10 00:00:00+00:00,13300.0,14000.0
1996-01-11 00:00:00+00:00,14300.0,15000.0
1996-01-12 00:00:00+00:00,14600.0,15300.0
1996-01-13 00:00:00+00:00,14100.0,14800.0
1996-01-14 00:00:00+00:00,14000.0,14700.0
1996-01-15 00:00:00+00:00,14000.0,14700.0
1996-01-16 00:00:00+00:00,13900.0,14600.0
1996-01-17 00:00:00+00:00,12700.0,13400.0
1996-01-18 00:00:00+00:00,12800.0,13400.0
1996-01-19 00:00:00+00:00,14500.0,15100.0
1996-01-20 00:00:00+00:00,12800.0,13400.0
1996-01-21 00:00:00+00:00,12100.0,12700.0
1996-01-22 00:00:00+00:00,10800.0,11400.0
1996-01-23 00:00:00+00:00,12400.0,13000.0
1996-01-24 00:00:00+00:00,13100.0,13700.0
1996-01-25 00:00:00+00:00,12900.0,13500.0
1996-01-26 00:00:00+00:00,12800.0,13400.0
1996-01-27 00:00:00+00:00,12600.0,13200.0
1996-01-28 00:00:00+00:00,12200.0,12800.0
1996-01-29 00:00:00+00:00,12300.0,12000.0
1996-01-30 00:00:00+00:00,12100.0,12700.0
1996-01-31 00:00:00+00:00,12400.0,13000.0
1996-02-01 00:00:00+00:00,12000.0,12600.0
1996-02-02 00:00:00+00:00,11900.0,12500.0
1996-02-03 00:00:00+00:00,12300.0,12900.0
1996-02-04 00:00:00+00:00,11300.0,11800.0
1996-02-05 00:00:00+00:00,11600.0,12200.0
1996-02-06 00:00:00+00:00,11700.0,12300.0
1996-02-07 00:00:00+00:00,11300.0,11900.0
1996-02-08 00:00:00+00:00,11900.0,12500.0
1996-02-09 00:00:00+00:00,11800.0,12400.0
1996-02-10 00:00:00+00:00,12300.0,13000.0
1996-02-11 00:00:00+00:00,11900.0,12800.0
1996-02-12 00:00:00+00:00,12100.0,13100.0
1996-02-13 00:00:00+00:00,12200.0,13300.0
1996-02-14 00:00:00+00:00,11900.0,13000.0
1996-02-15 00:00:00+00:00,12100.0,13100.0
1996-02-16 00:00:00+00:00,12300.0,13300.0
1996-02-17 00:00:00+00:00,12100.0,13100.0
1996-02-18 00:00:00+00:00,12600.0,13500.0
1996-02-19 00:00:00+00:00,12200.0,13000.0
1996-02-20 00:00:00+00:00,12500.0,13300.0
1996-02-21 00:00:00+00:00,12300.0,13000.0
1996-02-22 00:00:00+00:00,12300.0,12900.0
1996-02-23 00:00:00+00:00,12600.0,13300.0
1996-02-24 00:00:00+00:00,12600.0,13400.0
1996-02-25 00:00:00+00:00,12800.0,13800.0
1996-02-26 00:00:00+00:00,13000.0,14200.0
1996-02-27 00:00:00+00:00,13100.0,14400.0
1996-02-28 00:00:00+00:00,13400.0,14700.0
1996-02-29 00:00:00+00:00,13600.0,14900.0
1996-03-01 00:00:00+00:00,13300.0,14500.0
1996-03-02 00:00:00+00:00,13000.0,14200.0
1996-03-03 00:00:00+00:00,13500.0,14600.0
1996-03-04 00:00:00+00:00,13800.0,14800.0
1996-03-05 00:00:00+00:00,12900.0,13900.0
1996-03-06 00:00:00+00:00,13600.0,14600.0
1996-03-07 00:00:00+00:00,13600.0,14600.0
1996-03-08 00:00:00+00:00,13600.0,14500.0
1996-03-09 00:00:00+00:00,13000.0,13700.0
1996-03-10 00:00:00+00:00,12300.0,13000.0
1996-03-11 00:00:00+00:00,12700.0,13500.0
1996-03-12 00:00:00+00:00,13300.0,14600.0
1996-03-13 00:00:00+00:00,14400.0,16200.0
1996-03-14 00:00:00+00:00,16000.0,17900.0
1996-03-15 00:00:00+00:00,17800.0,19700.0
1996-03-16 00:00:00+00:00,19300.0,21100.0
1996-03-17 00:00:00+00:00,24000.0,26100.0
1996-03-18 00:00:00+00:00,25400.0,27500.0
1996-03-19 00:00:00+00:00,26600.0,28500.0
1996-03-20 00:00:00+00:00,27200.0,29000.0
1996-03-21 00:00:00+00:00,28000.0,29600.0
1996-03-22 00:00:00+00:00,28800.0,30300.0
1996-03-23 00:00:00+00:00,29600.0,31200.0
1996-03-24 00:00:00+00:00,31600.0,33400.0
1996-03-25 00:00:00+00:00,33200.0,35800.0
1996-03-26 00:00:00+00:00,32900.0,35400.0
1996-03-27 00:00:00+00:00,32000.0,34500.0
1996-03-28 00:00:00+00:00,31200.0,33700.0
1996-03-29 00:00:00+00:00,32300.0,34700.0
1996-03-30 00:00:00+00:00,32900.0,37200.0
1996-03-31 00:00:00+00:00,33700.0,39200.0
1996-04-01 00:00:00+00:00,33800.0,38700.0
1996-04-02 00:00:00+00:00,34900.0,39500.0
1996-04-03 00:00:00+00:00,36900.0,41000.0
1996-04-04 00:00:00+00:00,38500.0,42100.0
1996-04-05 00:00:00+00:00,40400.0,43700.0
1996-04-06 00:00:00+00:00,41800.0,44600.0
1996-04-07 00:00:00+00:00,43300.0,46000.0
1996-04-08 00:00:00+00:00,45000.0,47500.0
1996-04-09 00:00:00+00:00,45700.0,48200.0
1996-04-10 00:00:00+00:00,46700.0,49100.0
1996-04-11 00:00:00+00:00,48900.0,51300.0
1996-04-12 00:00:00+00:00,51600.0,54000.0
1996-04-13 00:00:00+00:00,55400.0,57900.0
1996-04-14 00:00:00+00:00,59300.0,61800.0
1996-04-15 00:00:00+00:00,62300.0,64800.0
1996-04-16 00:00:00+00:00,64300.0,66800.0
1996-04-17 00:00:00+00:00,67000.0,69600.0
1996-04-18 00:00:00+00:00,68900.0,71500.0
1996-04-19 00:00:00+00:00,71500.0,74100.0
1996-04-20 00:00:00+00:00,74600.0,77300.0
1996-04-21 00:00:00+00:00,77300.0,80100.0
1996-04-22 00:00:00+00:00,80400.0,83200.0
1996-04-23 00:00:00+00:00,81700.0,84400.0
1996-04-24 00:00:00+00:00,81900.0,84500.0
1996-04-25 00:00:00+00:00,80000.0,82600.0
1996-04-26 00:00:00+00:00,75600.0,78100.0
1996-04-27 00:00:00+00:00,73000.0,75400.0
1996-04-28 00:00:00+00:00,70900.0,73200.0
1996-04-29 00:00:00+00:00,68300.0,70500.0
1996-04-30 00:00:00+00:00,65700.0,67800.0
1996-05-01 00:00:00+00:00,62200.0,64200.0
1996-05-02 00:00:00+00:00,58700.0,60600.0
1996-05-03 00:00:00+00:00,56600.0,58500.0
1996-05-04 00:00:00+00:00,53500.0,55400.0
1996-05-05 00:00:00+00:00,50900.0,52700.0
1996-05-06 00:00:00+00:00,48700.0,50500.0
1996-05-07 00:00:00+00:00,47600.0,49400.0
1996-05-08 00:00:00+00:00,46300.0,48100.0
1996-05-09 00:00:00+00:00,44600.0,46400.0
1996-05-10 00:00:00+00:00,43000.0,44900.0
1996-05-11 00:00:00+00:00,41800.0,43600.0
1996-05-12 00:00:00+00:00,41400.0,43200.0
1996-05-13 00:00:00+00:00,41100.0,42800.0
1996-05-14 00:00:00+00:00,40000.0,41700.0
1996-05-15 00:00:00+00:00,39800.0,41600.0
1996-05-16 00:00:00+00:00,40300.0,42100.0
1996-05-17 00:00:00+00:00,39200.0,41000.0
1996-05-18 00:00:00+00:00,39500.0,41300.0
1996-05-19 00:00:00+00:00,41000.0,43000.0
1996-05-20 00:00:00+00:00,45000.0,47200.0
1996-05-21 00:00:00+00:00,49600.0,51700.0
1996-05-22 00:00:00+00:00,52500.0,54600.0
1996-05-23 00:00:00+00:00,53200.0,55200.0
1996-05-24 00:00:00+00:00,52400.0,54300.0
1996-05-25 00:00:00+00:00,51900.0,53800.0
1996-05-26 00:00:00+00:00,51000.0,52800.0
1996-05-27 00:00:00+00:00,49100.0,50800.0
1996-05-28 00:00:00+00:00,47400.0,49100.0
1996-05-29 00:00:00+00:00,45100.0,46800.0
1996-05-30 00:00:00+00:00,42300.0,43900.0
1996-05-31 00:00:00+00:00,40200.0,41700.0
1996-06-01 00:00:00+00:00,39000.0,40500.0
1996-06-02 00:00:00+00:00,37600.0,39100.0
1996-06-03 00:00:00+00:00,36400.0,37800.0
1996-06-04 00:00:00+00:00,35100.0,36500.0
1996-06-05 00:00:00+00:00,34400.0,35700.0
1996-06-06 00:00:00+00:00,34200.0,35700.0
1996-06-07 00:00:00+00:00,34200.0,35700.0
1996-06-08 00:00:00+00:00,33600.0,35200.0
1996-06-09 00:00:00+00:00,32700.0,34300.0
1996-06-10 00:00:00+00:00,32100.0,33500.0
1996-06-11 00:00:00+00:00,31500.0,32900.0
1996-06-12 00:00:00+00:00,30800.0,32100.0
1996-06-13 00:00:00+00:00,30800.0,32100.0
1996-06-14 00:00:00+00:00,29300.0,30500.0
1996-06-15 00:00:00+00:00,28300.0,29500.0
1996-06-16 00:00:00+00:00,27800.0,28900.0
1996-06-17 00:00:00+00:00,27300.0,28700.0
1996-06-18 00:00:00+00:00,27800.0,30200.0
1996-06-19 00:00:00+00:00,27700.0,30500.0
1996-06-20 00:00:00+00:00,29200.0,32000.0
1996-06-21 00:00:00+00:00,30500.0,33300.0
1996-06-22 00:00:00+00:00,32400.0,35200.0
1996-06-23 00:00:00+00:00,34000.0,36600.0
1996-06-24 00:00:00+00:00,35400.0,37700.0
1996-06-25 00:00:00+00:00,37200.0,39400.0
1996-06-26 00:00:00+00:00,38300.0,40300.0
1996-06-27 00:00:00+00:00,38600.0,40600.0
1996-06-28 00:00:00+00:00,39400.0,41200.0
1996-06-29 00:00:00+00:00,41900.0,43600.0
1996-06-30 00:00:00+00:00,42600.0,44300.0
1996-07-01 00:00:00+00:00,40900.0,42600.0
1996-07-02 00:00:00+00:00,37900.0,39500.0
1996-07-03 00:00:00+00:00,34500.0,35900.0
1996-07-04 00:00:00+00:00,31600.0,32800.0
1996-07-05 00:00:00+00:00,28900.0,30000.0
1996-07-06 00:00:00+00:00,27000.0,28100.0
1996-07-07 00:00:00+00:00,25700.0,26800.0
1996-07-08 00:00:00+00:00,24100.0,25100.0
1996-07-09 00:00:00+00:00,23400.0,24400.0
1996-07-10 00:00:00+00:00,22600.0,23600.0
1996-07-11 00:00:00+00:00,22300.0,23200.0
1996-07-12 00:00:00+00:00,21100.0,22000.0
1996-07-13 00:00:00+00:00,20900.0,21800.0
1996-07-14 00:00:00+00:00,20800.0,21700.0
1996-07-15 00:00:00+00:00,22300.0,23200.0
1996-07-16 00:00:00+00:00,22500.0,23400.0
1996-07-17 00:00:00+00:00,22100.0,22900.0
1996-07-18 00:00:00+00:00,21000.0,21800.0
1996-07-19 00:00:00+00:00,21200.0,21900.0
1996-07-20 00:00:00+00:00,21200.0,21900.0
1996-07-21 00:00:00+00:00,21700.0,22500.0
1996-07-22 00:00:00+00:00,22300.0,23000.0
1996-07-23 00:00:00+00:00,22000.0,22700.0
1996-07-24 00:00:00+00:00,20800.0,21500.0
1996-07-25 00:00:00+00:00,20500.0,21200.0
1996-07-26 00:00:00+00:00,19500.0,20200.0
1996-07-27 00:00:00+00:00,18100.0,18700.0
1996-07-28 00:00:00+00:00,17800.0,18400.0
1996-07-29 00:00:00+00:00,17400.0,18000.0
1996-07-30 00:00:00+00:00,17700.0,18300.0
1996-07-31 00:00:00+00:00,17100.0,17700.0
1996-08-01 00:00:00+00:00,17200.0,17800.0
1996-08-02 00:00:00+00:00,16400.0,17000.0
1996-08-03 00:00:00+00:00,16100.0,16600.0
1996-08-04 00:00:00+00:00,16300.0,16800.0
1996-08-05 00:00:00+00:00,15000.0,15600.0
1996-08-06 00:00:00+00:00,14600.0,15200.0
1996-08-07 00:00:00+00:00,14400.0,15200.0
1996-08-08 00:00:00+00:00,14100.0,14800.0
1996-08-09 00:00:00+00:00,14000.0,14600.0
1996-08-10 00:00:00+00:00,13800.0,14400.0
1996-08-11 00:00:00+00:00,13800.0,14400.0
1996-08-12 00:00:00+00:00,13300.0,13900.0
1996-08-13 00:00:00+00:00,14000.0,14600.0
1996-08-14 00:00:00+00:00,15200.0,15800.0
1996-08-15 00:00:00+00:00,15600.0,16100.0
1996-08-16 00:00:00+00:00,14600.0,15100.0
1996-08-17 00:00:00+00:00,14200.0,14700.0
1996-08-18 00:00:00+00:00,13200.0,13700.0
1996-08-19 00:00:00+00:00,13000.0,13500.0
1996-08-20 00:00:00+00:00,12700.0,13200.0
1996-08-21 00:00:00+00:00,12200.0,12700.0
1996-08-22 00:00:00+00:00,11700.0,12200.0
1996-08-23 00:00:00+00:00,10800.0,11300.0
1996-08-24 00:00:00+00:00,11300.0,11800.0
1996-08-25 00:00:00+00:00,10500.0,10900.0
1996-08-26 00:00:00+00:00,9830.0,10300.0
1996-08-27 00:00:00+00:00,10400.0,11100.0
1996-08-28 00:00:00+00:00,11100.0,12000.0
1996-08-29 00:00:00+00:00,12700.0,13500.0
1996-08-30 00:00:00+00:00,12900.0,13500.0
1996-08-31 00:00:00+00:00,12800.0,13400.0
1996-09-01 00:00:00+00:00,12100.0,12700.0
1996-09-02 00:00:00+00:00,11400.0,12000.0
1996-09-03 00:00:00+00:00,10200.0,10800.0
1996-09-04 00:00:00+00:00,9770.0,10300.0
1996-09-05 00:00:00+00:00,11500.0,12000.0
1996-09-06 00:00:00+00:00,12600.0,13100.0
1996-09-07 00:00:00+00:00,13600.0,14100.0
1996-09-08 00:00:00+00:00,11800.0,12300.0
1996-09-09 00:00:00+00:00,11000.0,11500.0
1996-09-10 00:00:00+00:00,10800.0,11300.0
1996-09-11 00:00:00+00:00,10400.0,10900.0
1996-09-12 00:00:00+00:00,10500.0,11000.0
1996-09-13 00:00:00+00:00,11000.0,11400.0
1996-09-14 00:00:00+00:00,10400.0,10800.0
1996-09-15 00:00:00+00:00,9740.0,10200.0
1996-09-16 00:00:00+00:00,9120.0,9540.0
1996-09-17 00:00:00+00:00,9210.0,9620.0
1996-09-18 00:00:00+00:00,8820.0,9230.0
1996-09-19 00:00:00+00:00,8290.0,8670.0
1996-09-20 00:00:00+00:00,8260.0,8670.0
1996-09-21 00:00:00+00:00,7800.0,8260.0
1996-09-22 00:00:00+00:00,7710.0,8150.0
1996-09-23 00:00:00+00:00,7630.0,8020.0
1996-09-24 00:00:00+00:00,8260.0,8690.0
1996-09-25 00:00:00+00:00,8440.0,8850.0
1996-09-26 00:00:00+00:00,8270.0,8680.0
1996-09-27 00:00:00+00:00,8140.0,8590.0
1996-09-28 00:00:00+00:00,8240.0,8670.0
1996-09-29 00:00:00+00:00,8090.0,8490.0
1996-09-30 00:00:00+00:00,9220.0,9640.0
1996-10-01 00:00:00+00:00,8790.0,9240.0
1996-10-02 00:00:00+00:00,8760.0,9160.0
1996-10-03 00:00:00+00:00,8620.0,8990.0
1996-10-04 00:00:00+00:00,8870.0,9270.0
1996-10-05 00:00:00+00:00,8920.0,9330.0
1996-10-06 00:00:00+00:00,8980.0,9420.0
1996-10-07 00:00:00+00:00,8280.0,8650.0
1996-10-08 00:00:00+00:00,8750.0,9160.0
1996-10-09 00:00:00+00:00,8380.0,8780.0
1996-10-10 00:00:00+00:00,8100.0,8480.0
1996-10-11 00:00:00+00:00,8400.0,8780.0
1996-10-12 00:00:00+00:00,8600.0,8980.0
1996-10-13 00:00:00+00:00,8250.0,8650.0
1996-10-14 00:00:00+00:00,8200.0,8550.0
1996-10-15 00:00:00+00:00,7610.0,7960.0
1996-10-16 00:00:00+00:00,7910.0,8330.0
1996-10-17 00:00:00+00:00,7730.0,8180.0
1996-10-18 00:00:00+00:00,9000.0,9460.0
1996-10-19 00:00:00+00:00,9870.0,10200.0
1996-10-20 00:00:00+00:00,10800.0,11200.0
1996-10-21 00:00:00+00:00,10700.0,11200.0
1996-10-22 00:00:00+00:00,10900.0,11300.0
1996-10-23 00:00:00+00:00,12700.0,13200.0
1996-10-24 00:00:00+00:00,13700.0,14300.0
1996-10-25 00:00:00+00:00,14900.0,15600.0
1996-10-26 00:00:00+00:00,16500.0,17100.0
1996-10-27 00:00:00+00:00,17000.0,17800.0
1996-10-28 00:00:00+00:00,17000.0,17600.0
1996-10-29 00:00:00+00:00,17300.0,17900.0
1996-10-30 00:00:00+00:00,18100.0,18900.0
1996-10-31 00:00:00+00:00,18500.0,19100.0
1996-11-01 00:00:00+00:00,20400.0,21100.0
1996-11-02 00:00:00+00:00,20700.0,21600.0
1996-11-03 00:00:00+00:00,21000.0,21800.0
